TABLE_NAME;DOSSIERNUMMER;AANVRAGER;REGELINGNAAM;BELEIDSTERREIN;ORGANISATIEONDERDEEL;PROJECT_NAAM;TYPE_PERIODICITEIT;BEDRAG_AANGEVRAAGD;BEDRAG_VERLEEND;BEDRAG_VASTGESTELD;SUBSIDIEJAAR;DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER;SBA-010119;PuurZuid MaDi;Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid);Welzijn en Zorg;stadsdeel Zuid;Basisvoorziening Dragende Samenleving (Zuid);Periodiek;194525.00;136315.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-010121;PuurZuid MaDi;Begrotingspost Subsidie OJZ (Organisatiespecifiek);Algemeen;Onderwijs, Jeugd en Zorg;Basisvoorziening OJZ - Zorg;Periodiek;2013103.00;2012162.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-009048;PuurZuid MaDi;Basisvoorziening mantelzorgondersteuning (SD Zuid);Welzijn en Zorg;stadsdeel Zuid;mantelzorgondersteuning;Eenmalig;85040.00;.00;.00;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-009036;PuurZuid MaDi;Basisvoorziening mantelzorgondersteuning (SD Zuid);Welzijn en Zorg;stadsdeel Zuid;project mantelnetwerk, mantelzorgondersteuning Sociale Rollen;Eenmalig;62775.00;62775.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-010502;Stichting Youth on the Move;Basisvoorziening versterken pedagogische dragende samenleving en (talent)ontwikkeling bij jeugdigen;Jeugd;stadsdeel Oost;jongerenprogramma 2018;Periodiek;18130.00;.00;NULL;2018;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-006020;Stichting Youth on the Move;Basisvoorziening versterken pedagogische dragende samenleving en (talent)ontwikkeling bij jeugdigen;Jeugd;stadsdeel Oost;Jongerenprogramma Ijburg;Eenmalig;29950.00;16690.00;NULL;2017;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004418;Atletiek Vereniging Feniks;Nadere regels subsidie Evenementenfonds 2016 Zuidoost;Cultuur;stadsdeel Zuidoost;Jubileumdag;Eenmalig;5500.00;.00;.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004423;Stichting Professionele Ervaring Deskundigheid In Zorg;Bijzondere subsidieverordening voor opvang en begeleiding van kwetsbare burgers;Welzijn en Zorg;Onderwijs, Jeugd en Zorg;vormgeven kennis en participatie instituut onderdeel van herstel ervaringsdeskundigen ggz;Periodiek;5000.00;5000.00;5000.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004453;M3E Subsidie Advies BV;Bijzondere verordening basiskwaliteit woningbouw marktsector Amsterdam, energie neutrale woningen;Stedelijke ontwikkeling en wonen;Wonen;124 Energieneutrale woningen;Eenmalig;124000.00;124000.00;NULL;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004455;Stichting Aminah;Welzijnssubsidies West 2013;Welzijn en Zorg;stadsdeel West;overname subsidie Amira;Eenmalig;9823.00;9823.00;9823.00;2016;2018-05-02 01:00:11.660
SB_MI_SUBSIDIEREGISTER;SBA-004456;Stichting Aminah;Welzijnssubsidies West 2013;Welzijn en Zorg;stadsdeel West;project;Eenmalig;4085.00;4085.00;4085.00;2016;2018-05-02 01:00:11.660
