TABLE_NAME,DOSSIERNUMMER,AANVRAGER,REGELINGNAAM,BELEIDSTERREIN,ORGANISATIEONDERDEEL,PROJECT_NAAM,TYPE_PERIODICITEIT,BEDRAG_AANGEVRAAGD,BEDRAG_VERLEEND,BEDRAG_VASTGESTELD,SUBSIDIEJAAR,DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER,SBA-000090,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,het organiseren van een wekelijkse voor ouderen waar zij kunnen bridgen en klaverjassen,Eenmalig,1850,1850,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000019,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,Jazzclub New Orleans,Eenmalig,4000,4000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000082,(Particulier),Nadere regels subsidie Kunst Cultuur West,Cultuur,stadsdeel West,filmactiviteit,Eenmalig,10000,10000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000222,(Particulier),Eenmalige Initiatieven SD Zuid,Algemeen,stadsdeel Zuid,Biesbosch straatdiner,Eenmalig,1479,1479,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000257,(Particulier),Nadere regels subsidie Kunst Cultuur West,Cultuur,stadsdeel West,community art,Eenmalig,4000,4000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000308,(Particulier),Subsidieregeling Burgerschap en Diversiteit,Participatie,"Onderwijs, Jeugd en Zorg",Filmvertoning en discussieavond met Cecile Emeke,Eenmalig,1400,1400,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000304,(Particulier),Welzijnssubsidies West 2013,Welzijn en Zorg,stadsdeel West,Vrouwenfitnetwerk Tagerijn,Periodiek,16950,16950,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000337,(Particulier),Begrotingspost Subsidie SD Zuid (Organisatiespecifiek),Algemeen,stadsdeel Zuid,Brideclub voor ouderen,Periodiek,1370,1370,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000346,(Particulier),Subsidieregeling Inburgering,Welzijn en Zorg,stadsdeel Zuid,Activiteiten Werkgroep Vluchtelingen Rivierenbuurt,Periodiek,2000,2000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000347,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,voor de ouderen societeit nieuwendam,Eenmalig,2000,676,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000383,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Beeldhouwen in speksteen,Eenmalig,845,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000440,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,voor de biljartvereniging nieuwendam,Eenmalig,1000,400,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000484,(Particulier),Subsidieregeling Vernieuwd welzijn,Welzijn en Zorg,stadsdeel Zuid,Lunchconcerten Thomas Open,Periodiek,3000,2000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000539,(Particulier),Subsidieregeling Vernieuwd welzijn,Welzijn en Zorg,stadsdeel Zuid,Samenspraak Gilde Utrecht,Periodiek,3500,3500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000546,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Organiseren filmmiddag,Eenmalig,1500,1500,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000579,(Particulier),Subsidieregeling Vernieuwd welzijn,Welzijn en Zorg,stadsdeel Zuid,Speel-o-theek 't Guppie,Periodiek,5355,5355,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000914,(Particulier),Nadere regels subsidie Kunst Cultuur West,Cultuur,stadsdeel West,Kunstproject Amsterdam-West,Eenmalig,25025,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-000978,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Ouder en kind speelgroep Amsterdam Noord,Eenmalig,640,640,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001061,(Particulier),Welzijnssubsidies West 2013,Welzijn en Zorg,stadsdeel West,Contactbijeenkomsten Visueel Gehandicapten,Eenmalig,2850,2850,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001095,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,A.V.O.  Klaverjas vereniging,Eenmalig,500,105,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001152,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,interculturele ontmoetingsochtend voor vrouwen,Eenmalig,499,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001166,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,voor Klaverjasclub Animo,Eenmalig,500,380,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001180,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Nederlandse les voor Spaanstaligen,Eenmalig,432,326,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001176,(Particulier),Eenmalige Initiatieven SD Centrum,Algemeen,stadsdeel Centrum,Gezamenlijke aanvraag vijf buurtkranten Centrum,Eenmalig,16000,16000,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001221,(Particulier),Welzijnssubsidies West 2013,Welzijn en Zorg,stadsdeel West,Chi Kung lessen voor Ouderen,Eenmalig,10210,10210,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001235,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,Sociale buurtvoorzieningen,Periodiek,7800,6900,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001268,(Particulier),Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Yoga voor Ouderen,Eenmalig,1400,1400,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001277,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,Buurtbewoners samen eten,Periodiek,1140,1140,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001279,(Particulier),Nadere regels subsidies versterking bewonersparticipatie stadsdeel Zuidoost 2013,Participatie,stadsdeel Zuidoost,Workshop en overdracht Wan Denki,Eenmalig,4898.7,3710,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001291,(Particulier),Welzijnssubsidies West 2013,Welzijn en Zorg,stadsdeel West,Uitgave 2 maandelijks blad voor visueel gehandicapten,Eenmalig,8725,0,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001317,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,Buurtinitiatief kwetsbare vrouwen,Periodiek,4000,2160,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001320,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,verschillende activiteiten,Periodiek,4830,4830,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001347,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Klaverjasclub de Banne,Eenmalig,1568.7,1568.7,NULL,2016,2016-11-07 01:00
SB_MI_SUBSIDIEREGISTER,SBA-001348,(Particulier),Subsidieregeling Activiteiten door vrijwilligersorganisaties,Welzijn en Zorg,stadsdeel Oost,Buurtinitiatief,Periodiek,11914,9914,NULL,2016,2016-11-07 01:00
